news_id,news_title,review_title,rating,num_satisfactory
story_reviews_00000,The Guardian,Guardian jumps to conclusions about an Alzheimer’s study that hasn’t even begun,1,1
story_reviews_00001,Reuters,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative",3,6
story_reviews_00002,ABCNews.com,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’",2,3
story_reviews_00003,Reuters,Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug,2,3
story_reviews_00004,Health Day,A little more context would have boosted already-strong HealthDay story on drug for hot flashes,5,9
story_reviews_00005,NPR,Props to NPR for highlighting the need for balanced decision-making around statins,4,7
story_reviews_00006,Health Day,Independent source injects caution into a HeathDay story on ‘nerve zap’ for back pain,3,6
story_reviews_00007,Newsweek,"Newsweek trumpets an ‘aggressive’ new cancer drug, but where’s the data?",1,2
story_reviews_00008,USA Today,USA Today provides rosy speculation about an Alzheimer’s vaccine not yet tested in humans,3,6
story_reviews_00009,CNN,CNN delivers a balanced report on peanut allergy treatment,5,9
story_reviews_00010,FoxNews.com,Fox spreads ‘breakthrough’ claim but no real reporting on peanut allergy treatment,2,4
story_reviews_00011,Bloomberg,Bloomberg uncritically touts ‘greater effectiveness’ of cell-based flu vaccine,3,6
story_reviews_00012,Reuters,Reuters rehashes Merck announcement on Keytruda trial for esophageal cancer,1,2
story_reviews_00013,CNN,CNN overstates evidence linking neck pulse measurements to increased dementia risk,2,4
story_reviews_00014,FoxNews.com,Fox News regurgitates a hot mess from the UK Sun,2,2
story_reviews_00015,Associated Press,"Thoughtful and thorough, AP story looks at growing trend of using ketamine for depression",5,8
story_reviews_00016,ABCNews.com,ABC News story perpetuates misinformation that new drug will prevent spread of flu,2,4
story_reviews_00017,The New York Times,New York Times warns readers that new flu drug ‘is no miracle cure’,4,8
story_reviews_00018,Reuters,Litany of errors hampers Reuters story on experimental breast cancer drug,2,3
story_reviews_00019,Health Day,HealthDay speculates that experimental cystic fibrosis drug combo could be ‘breakthrough’ and ‘game-changing’,3,5
story_reviews_00020,Health Day,"HealthDay touts nerve device as ‘more effective,’ but data is from unpublished study with no control group",3,6
story_reviews_00021,The Philadelphia Inquirer,Inquirer’s look at using Facebook to screen for depression emphasizes research ‘is still in very early stages’,4,7
story_reviews_00022,Reuters,Reuters once again rehashes drug company news release,2,4
story_reviews_00023,The Philadelphia Inquirer,"Doctor’s $620,000 conflict of interest not disclosed in Inquirer story on new migraine drugs",3,6
story_reviews_00024,Associated Press,AP offers strong reporting about the evidence for a drug treatment for moderate bone loss,5,9
story_reviews_00025,Health Day,"Are bacteria useful as cancer ‘weapons,’ or far too early to know? Key context missing from HealthDay story",2,4
story_reviews_00026,Newsweek,Newsweek overlooks key limitation of study on vitamin D and childhood obesity,2,2
story_reviews_00027,Reuters Health,"Antidepressants and therapy may ease IBS, but Reuters Health story is unclear on extent of benefit",3,5
story_reviews_00028,STAT,STAT’s cheerleading coverage of prescription fish oil capsule lacks crucial context,3,5
story_reviews_00029,The New York Times,"NY Times hails MitraClip a ‘huge advance’ for heart failure, but independent sources might have said otherwise",3,6
story_reviews_00030,Newsweek,Newsweek story on Zika vaccine to zap brain cancer is fascinating–but needed more caution about mouse research,4,6
story_reviews_00031,The Washington Post,One woman’s account of spinal cord stimulator skips realities of medical device safety in U.S.,2,4
story_reviews_00032,US News & World Report,U.S. News churns out puff piece on medical marijuana app research,2,3
story_reviews_00033,Reuters,Reuters story on kidney cancer drug makes us ask: How is this journalism?,1,1
story_reviews_00034,Health Day,"Fish oil during pregnancy led to ‘stronger kids,’ but was the difference clinically meaningful?",4,6
story_reviews_00035,NBCNews.com,"In story about ‘latest generation’ of weight loss drugs, NBC overlooks doctors’ pharma ties",2,3
story_reviews_00036,US News & World Report,U.S. News & World Report regurgitates news release on cannabidiol and psychosis,2,3
story_reviews_00037,The Wall Street Journal,WSJ reporter claims a carotid artery scan ‘saved’ his life — but there’s no way to know that,2,4
story_reviews_00038,BuzzFeed,"Without an independent source, BuzzFeed’s story on a medical device for OCD doesn’t offer much beyond the news release",3,5
story_reviews_00039,Newsweek,"Newsweek’s premature optimism about experimental ovarian cancer drug overlooks costs, harms and limitations of the evidence",2,3
story_reviews_00040,Health Day,"Talazoparib touted as ‘promising,’ but is it any better than a similar breast cancer drug that’s already available?",3,5
story_reviews_00041,Associated Press,"Multigene test may find risk for common diseases, but there’s no evidence it will make anyone healthier",3,6
story_reviews_00042,ABCNews.com,How solid is the evidence behind the FDA-cleared ‘contraceptive app?’ ABC News doesn’t say,3,5
story_reviews_00043,The Philadelphia Inquirer,"When n=1, it’s easy to jump to conclusions about a therapy working",4,7
story_reviews_00044,Health Day,HealthDay neglects the potential harms of transplanting hepatitis-infected kidneys,3,5
story_reviews_00045,Newsweek,Newsweek prematurely reports ‘promise’ for ketamine as a treatment for depressed teens,3,6
story_reviews_00046,ABCNews.com,ABC News doesn’t oversell early research on blood test for depression,4,5
story_reviews_00047,Vox,‘But it comes with some big caveats:’ Vox is clear about drawbacks of new endometriosis drug,4,8
story_reviews_00048,Health Day,HealthDay provides needed details on side effects of THC-based drug studied for Alzheimer’s agitation,4,7
story_reviews_00049,CNN,It’s way too soon to know if melanoma blood test will save ‘thousands of lives’,4,7
story_reviews_00050,NPR,"All anecdote, no data: NPR’s take on high blood pressure and dementia",3,4
story_reviews_00051,NPR,A 50% reduction in suicide risk? NPR story overstates the benefits of ‘Safety Planning Intervention’,3,5
story_reviews_00052,The Philadelphia Inquirer,"Genetic testing to guide antidepressant choices: Big news coverage, but limited evidence",3,6
story_reviews_00053,The Wall Street Journal,WSJ offers caution early and often in coverage of latest experimental Alzheimer’s drug,5,9
