word,log_odds_ratio
aaron,1.47863
abbott,0.64286
abdomen,0.67565
abdominal,0.8958
abilities,1.55896
ability,1.13001
able,1.34106
abnormal,0.77127
abnormalities,0.81251
abnormality,0.46692
abnormally,0.64362
absence,0.92077
absolute,0.13398
absolutely,0.58276
absorb,1.4128
absorbed,2.08276
absorption,1.72961
abstract,2.60086
abuse,0.44333
academic,1.36591
academy,1.12459
accelerated,2.16274
accept,1.09394
acceptance,0.28521
accepted,0.42644
access,0.63666
accessible,0.68547
accident,1.14815
accidents,0.1968
accompanied,0.64209
accompanies,1.10661
accompanying,0.33943
according,0.85965
account,0.53117
accounted,0.39444
accounting,1.61938
accounts,1.80179
accumulate,0.57163
accuracy,1.85013
accurate,1.5
accurately,1.4386
aches,0.71378
achieve,0.6172
achieved,0.81007
acid,0.8715
acids,0.76162
acknowledged,0.42398
acknowledges,0.39444
acquired,1.85225
across,0.45404
act,0.58764
acting,0.73391
action,0.8156
actions,0.57163
activate,0.85928
activated,1.0635
activation,0.77271
active,0.97605
activities,0.75569
activity,1.53014
acts,1.36591
actual,0.90402
actually,0.72597
acupuncture,1.05674
acute,0.95479
ad,0.88435
add,0.64186
added,0.54973
addicted,0.64362
addiction,0.2533
addictive,0.59291
adding,0.56989
addition,0.78553
additional,0.62375
additionally,1.7265
address,0.51136
addressed,1.10661
addressing,0.57163
adds,0.401
adequate,0.13398
adequately,0.57163
adhd,2.22747
adherence,0.28521
adjust,1.17481
adjusted,2.27688
adjusting,0.34128
administer,0.66897
administered,0.57246
administering,0.77271
administration,0.58147
admissions,1.10661
admitted,0.55011
adolescent,2.02222
adolescents,0.80434
adopt,0.64286
adult,0.5276
adulthood,0.96748
adults,0.57623
advance,0.81306
advanced,0.97209
advances,0.98276
advantage,0.91071
advantages,0.4519
adverse,0.37979
advertisement,0.6303
advice,0.5372
advise,1.0635
advised,0.7316
adviser,0.57163
advises,0.31823
advisory,0.65702
advocacy,0.58205
advocate,0.1595
advocates,0.60382
aerobic,1.29274
affairs,0.37702
affect,0.79194
affected,1.46305
affecting,0.59029
affects,0.8886
affiliated,0.80434
afford,0.25648
affordable,0.77124
afghanistan,0.85867
afraid,0.17028
africa,0.71837
african,1.0329
afternoon,1.7265
afterward,0.66897
afterwards,1.10661
ag,1.29526
age,0.75427
aged,0.95274
agency,0.61051
agent,0.85776
agents,0.7069
ages,0.8591
aggressive,0.70329
aggressively,0.55011
aging,1.09117
ago,0.90501
agree,0.40289
agreed,0.50588
agreement,1.07602
agrees,0.66897
aha,0.46692
ahead,0.82613
aid,0.6172
aids,1.16436
ailments,0.34128
aim,1.37327
aimed,0.4805
aiming,0.28521
aims,0.64133
air,0.92992
airway,1.61938
airways,2.60086
al,0.46692
alan,0.64056
alarm,0.23297
alarms,0.25648
albania,0.79224
albeit,1.29274
albert,0.93784
alberta,1.14815
alcohol,1.30377
alcoholic,0.96748
alert,0.70188
alexander,0.28521
algeria,0.79224
algorithm,2.98276
alive,0.49427
allergens,0.85928
allergic,0.64133
allergies,1.36591
allergy,0.69016
alleviate,1.443
allow,0.86818
allowed,1.19858
allowing,1.06957
allows,0.87279
almost,0.62009
alone,0.46808
along,0.72198
alongside,0.13398
alpha,1.29274
already,0.63416
also,0.74636
alter,0.36461
altered,0.77124
altering,0.39444
alternative,1.19421
alternatives,0.82276
although,0.53184
altogether,0.33234
always,1.08437
alzheimer,1.04195
amanda,0.74892
amazing,1.24487
america,0.88902
american,0.62201
americans,0.56326
amgen,0.85928
amino,1.72961
among,0.61673
amount,0.70313
amounts,0.86818
amplifications,0.21338
amy,0.4519
amyloid,0.66897
analyses,1.43826
analysis,0.78658
analyst,0.28369
analysts,0.69996
analyze,0.5698
analyzed,0.90865
analyzes,0.85928
analyzing,1.14943
ancient,0.55011
anderson,0.50987
andorra,0.79224
andrea,4.18276
andrew,0.67692
anecdotal,0.46692
anemia,0.85928
anesthesia,1.831
anesthetic,1.43826
angeles,0.53526
anger,3.90773
angioplasty,1.17481
angola,0.79224
anguilla,0.79224
animal,0.74095
animals,0.46003
ann,2.02222
anna,1.03248
annals,0.36694
anne,0.51404
announced,0.85621
announcement,0.70188
annual,1.33092
annually,0.79698
another,0.61477
answer,0.73034
answered,0.1595
answers,0.46235
anthony,0.73504
anti,0.89084
antibiotic,1.4128
antibiotics,1.00995
antibodies,1.14943
antibody,1.03276
anticipated,1.4128
antidepressant,0.59613
antidepressants,0.85683
antigen,0.76054
antigua,0.79224
antilles,0.79224
antimicrobial,1.7265
antioxidant,0.31677
antioxidants,0.9373
antiviral,1.85225
antonio,0.70188
anxiety,1.15082
anxious,1.73276
anybody,0.46692
anymore,1.03262
anyone,0.39452
anything,0.44676
anyway,0.36461
anywhere,0.42398
ap,0.48718
apart,0.79698
apnea,1.10661
app,2.17532
apparent,0.61028
apparently,0.5698
appeal,0.36596
appealing,0.51404
appear,0.59915
appearance,0.64286
appeared,0.63187
appears,0.8907
appetite,0.85806
apples,2.16274
applicable,0.59291
application,0.9373
applications,1.07602
applied,0.75569
apply,0.72134
applying,1.19346
appointment,0.21338
approach,0.93989
approached,1.47863
approaches,0.66465
appropriate,0.43587
approval,0.89461
approve,0.64133
approved,0.74013
approximately,0.66018
apps,0.96748
